Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
1532,Brian Madjo,lu LUX,FW,Metz,fr Ligue 1,17.0,2009,5,2,157,1.7,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1532,lu LUX,FW,fr Ligue 1,17-106,2009,1.7,0,3,1,33.3,1.72,0.57,0.00,0.00,0,0,1924,lu LUX,FW,fr Ligue 1,17-106,2009,5,157,31,5.6,1.7,2,69,0,3,7,4,0.00,0,3,-3,-1.72,-0.49,1532,lu LUX,FW,fr Ligue 1,17-106,2009,1.7,0,0,0,3,3,3,0,0,0,0
1533,Noni Madueke,eng ENG,"FW,MF",Arsenal,eng Premier League,24.0,2002,23,15,1073,11.9,2,1,3,2,0,0,0,0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,1533,eng ENG,"FW,MF",eng Premier League,24-049,2002,11.9,2,21,7,33.3,1.76,0.59,0.10,0.29,0,0,1925,eng ENG,"FW,MF",eng Premier League,24-049,2002,23,1073,47,35.1,11.9,15,63,0,8,16,5,1.83,21,9,+12,+1.01,-0.17,1533,eng ENG,"FW,MF",eng Premier League,24-049,2002,11.9,0,0,0,13,14,3,73,4,10,0
1534,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,28.0,1997,27,26,2302,25.6,1,1,2,1,0,0,9,0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,1534,es ESP,DF,es La Liga,28-290,1997,25.6,1,7,1,14.3,0.27,0.04,0.14,1.00,0,0,1926,es ESP,DF,es La Liga,28-290,1997,27,2302,85,77.5,25.6,26,87,16,1,45,1,1.07,32,36,-4,-0.16,+0.65,1534,es ESP,DF,es La Liga,28-290,1997,25.6,9,0,0,21,20,0,68,32,27,1
1535,Gabriel Magalhães,br BRA,DF,Arsenal,eng Premier League,28.0,1997,28,27,2436,27.1,3,4,7,3,0,0,4,0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,1535,br BRA,DF,eng Premier League,28-130,1997,27.1,3,21,5,23.8,0.78,0.18,0.14,0.60,0,0,1927,br BRA,DF,eng Premier League,28-130,1997,28,2436,87,79.6,27.1,27,89,26,1,20,0,2.14,50,19,+31,+1.15,+0.14,1535,br BRA,DF,eng Premier League,28-130,1997,27.1,4,0,0,18,29,0,6,19,19,0
1536,Soungoutou Magassa,fr FRA,MF,West Ham United,eng Premier League,22.0,2003,21,11,978,10.9,1,0,1,1,0,0,4,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,1536,fr FRA,MF,eng Premier League,22-202,2003,10.9,1,7,2,28.6,0.64,0.18,0.14,0.50,0,0,1928,fr FRA,MF,eng Premier League,22-202,2003,21,978,47,32.0,10.9,11,74,2,10,17,9,0.76,11,23,-12,-1.10,-0.93,1536,fr FRA,MF,eng Premier League,22-202,2003,10.9,4,0,0,17,17,0,9,17,23,0
1537,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,27.0,1998,29,28,2428,27.0,1,1,2,1,0,0,4,1,0.07,,,,,,,,,,,,,,,,,,,,,,,,,1537,fr FRA,MF,fr Ligue 1,27-333,1998,27.0,1,18,3,16.7,0.67,0.11,0.06,0.33,0,0,1929,fr FRA,MF,fr Ligue 1,27-333,1998,29,2428,84,89.9,27.0,28,86,19,1,20,0,1.31,38,40,-2,-0.07,+1.25,1537,fr FRA,MF,fr Ligue 1,27-333,1998,27.0,4,1,0,29,30,0,22,39,41,0
1538,Frank Magri,cm CMR,"FW,MF",Toulouse,fr Ligue 1,26.0,1999,17,16,1253,13.9,5,1,6,5,0,1,3,0,0.43,,,,,,,,,,,,,,,,,,,,,,,,,1538,cm CMR,"FW,MF",fr Ligue 1,26-236,1999,13.9,5,33,12,36.4,2.37,0.86,0.15,0.42,0,1,1930,cm CMR,"FW,MF",fr Ligue 1,26-236,1999,17,1253,74,44.9,13.9,16,77,3,1,28,0,1.53,18,17,+1,+0.07,+0.19,1538,cm CMR,"FW,MF",fr Ligue 1,26-236,1999,13.9,3,0,0,28,22,3,15,3,3,0
1539,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,33.0,1993,19,15,1293,14.4,1,2,3,1,0,0,3,1,0.21,,,,,,,,,,,,,,,,,,,,,,,,,1539,eng ENG,DF,eng Premier League,33-054,1993,14.4,1,12,4,33.3,0.84,0.28,0.08,0.25,0,0,1931,eng ENG,DF,eng Premier League,33-054,1993,19,1293,68,42.3,14.4,15,83,9,4,13,3,1.95,27,15,+12,+0.84,+0.73,1539,eng ENG,DF,eng Premier League,33-054,1993,14.4,3,1,0,13,16,0,2,9,10,0
1540,Arne Maier,de GER,MF,Augsburg,de Bundesliga,27.0,1999,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1540,de GER,MF,de Bundesliga,27-110,1999,0.0,0,0,0,,0.00,0.00,,,0,0,1932,de GER,MF,de Bundesliga,27-110,1999,1,4,4,0.1,0.0,0,,0,1,4,10,3.00,0,0,0,0.00,+0.52,1540,de GER,MF,de Bundesliga,27-110,1999,0.0,0,0,0,0,0,0,1,1,1,0
1541,Mike Maignan,fr FRA,GK,Milan,it Serie A,30.0,1995,33,33,2935,32.6,0,0,0,0,0,0,3,0,0.00,85,fr FRA,GK,it Serie A,30-299,1995,33,33,2935,32.6,27,0.83,112,92,80.4,18,10,5,14,42.4,8,5,2,1,1541,fr FRA,GK,it Serie A,30-299,1995,32.6,0,0,0,,0.00,0.00,,,0,0,1933,fr FRA,GK,it Serie A,30-299,1995,33,2935,89,95.9,32.6,33,89,32,0,,0,1.94,44,27,+17,+0.52,-2.36,1541,fr FRA,GK,it Serie A,30-299,1995,32.6,3,0,0,0,6,0,0,1,0,0
1542,Linton Maina,de GER,"MF,FW",Köln,de Bundesliga,26.0,1999,21,8,888,9.9,2,0,2,2,0,0,0,0,0.20,,,,,,,,,,,,,,,,,,,,,,,,,1542,de GER,"MF,FW",de Bundesliga,26-309,1999,9.9,2,17,7,41.2,1.72,0.71,0.12,0.29,0,0,1934,de GER,"MF,FW",de Bundesliga,26-309,1999,21,888,42,31.8,9.9,8,70,0,13,25,4,1.00,14,18,-4,-0.41,-0.22,1542,de GER,"MF,FW",de Bundesliga,26-309,1999,9.9,0,0,0,8,5,1,21,2,6,0
1543,Patrick Mainka,de GER,DF,Heidenheim,de Bundesliga,31.0,1994,31,31,2790,31.0,2,2,4,2,0,0,1,0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,1543,de GER,DF,de Bundesliga,31-173,1994,31.0,2,33,7,21.2,1.06,0.23,0.06,0.29,0,0,1935,de GER,DF,de Bundesliga,31-173,1994,31,2790,90,100.0,31.0,31,90,31,0,,0,0.71,35,66,-31,-1.00,,1543,de GER,DF,de Bundesliga,31-173,1994,31.0,1,0,0,7,19,3,0,30,28,0
1544,Kobbie Mainoo,eng ENG,MF,Manchester Utd,eng Premier League,21.0,2005,24,12,1302,14.5,0,2,2,0,0,0,1,0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,1544,eng ENG,MF,eng Premier League,21-009,2005,14.5,0,8,2,25.0,0.55,0.14,0.00,0.00,0,0,1936,eng ENG,MF,eng Premier League,21-009,2005,24,1302,54,42.5,14.5,12,89,10,12,20,4,2.17,29,18,+11,+0.76,+0.61,1544,eng ENG,MF,eng Premier League,21-009,2005,14.5,1,0,0,9,16,1,13,12,18,0
1545,Ainsley Maitland-Niles,eng ENG,"DF,MF",Lyon,fr Ligue 1,28.0,1997,27,25,2260,25.1,1,4,5,1,0,1,7,1,0.20,,,,,,,,,,,,,,,,,,,,,,,,,1545,eng ENG,"DF,MF",fr Ligue 1,28-242,1997,25.1,1,14,7,50.0,0.56,0.28,0.07,0.14,0,1,1937,eng ENG,"DF,MF",fr Ligue 1,28-242,1997,27,2260,84,81.0,25.1,25,87,21,2,48,0,1.93,43,28,+15,+0.60,+0.43,1545,eng ENG,"DF,MF",fr Ligue 1,28-242,1997,25.1,7,1,1,34,12,1,40,31,33,0
1546,Radosław Majecki,pl POL,GK,Brest,fr Ligue 1,26.0,1999,10,10,864,9.6,0,0,0,0,0,0,0,1,0.00,86,pl POL,GK,fr Ligue 1,26-163,1999,10,10,864,9.6,18,1.87,43,26,60.5,1,4,5,3,30.0,1,1,0,0,1546,pl POL,GK,fr Ligue 1,26-163,1999,9.6,0,0,0,,0.00,0.00,,,0,0,1938,pl POL,GK,fr Ligue 1,26-163,1999,10,864,86,32.0,9.6,10,86,9,0,,14,0.70,9,15,-6,-0.62,-0.62,1546,pl POL,GK,fr Ligue 1,26-163,1999,9.6,0,1,0,1,1,0,0,0,0,0
1547,Lovro Majer,hr CRO,MF,Wolfsburg,de Bundesliga,28.0,1998,25,16,1327,14.7,2,3,5,2,0,0,5,0,0.34,,,,,,,,,,,,,,,,,,,,,,,,,1547,hr CRO,MF,de Bundesliga,28-101,1998,14.7,2,26,6,23.1,1.76,0.41,0.08,0.33,0,0,1939,hr CRO,MF,de Bundesliga,28-101,1998,25,1327,53,47.6,14.7,16,70,1,9,23,4,0.68,20,29,-9,-0.61,+0.37,1547,hr CRO,MF,de Bundesliga,28-101,1998,14.7,5,0,0,29,22,4,22,8,16,0
1548,Hamidou Makalou,ml MLI,MF,Brest,fr Ligue 1,19.0,2006,13,1,203,2.3,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1548,ml MLI,MF,fr Ligue 1,19-287,2006,2.3,0,2,0,0.0,0.89,0.00,0.00,,0,0,1940,ml MLI,MF,fr Ligue 1,19-287,2006,13,203,16,7.5,2.3,1,67,0,12,11,16,0.69,2,6,-4,-1.77,-1.70,1548,ml MLI,MF,fr Ligue 1,19-287,2006,2.3,0,0,0,1,2,0,8,3,3,0
1549,Jean-Victor Makengo,fr FRA,MF,Lorient,fr Ligue 1,27.0,1998,28,21,1643,18.3,3,2,5,3,0,0,1,0,0.27,,,,,,,,,,,,,,,,,,,,,,,,,1549,fr FRA,MF,fr Ligue 1,27-320,1998,18.3,3,34,12,35.3,1.86,0.66,0.09,0.25,0,0,1941,fr FRA,MF,fr Ligue 1,27-320,1998,28,1643,59,58.9,18.3,21,70,2,7,24,3,1.36,25,24,+1,+0.05,+0.53,1549,fr FRA,MF,fr Ligue 1,27-320,1998,18.3,1,0,0,8,33,0,16,13,14,1
1550,Jordy Makengo,fr FRA,DF,Freiburg,de Bundesliga,24.0,2001,18,11,1056,11.7,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1550,fr FRA,DF,de Bundesliga,24-268,2001,11.7,0,0,0,,0.00,0.00,,,0,0,1942,fr FRA,DF,de Bundesliga,24-268,2001,18,1056,59,37.8,11.7,11,85,8,7,17,8,1.44,14,17,-3,-0.26,0.00,1550,fr FRA,DF,de Bundesliga,24-268,2001,11.7,1,0,0,10,8,2,31,10,9,0
1551,Andrija Maksimović,rs SRB,FW,RB Leipzig,de Bundesliga,18.0,2007,8,0,93,1.0,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1551,rs SRB,FW,de Bundesliga,18-327,2007,1.0,0,2,0,0.0,1.94,0.00,0.00,,0,0,1943,rs SRB,FW,de Bundesliga,18-327,2007,8,93,12,3.3,1.0,0,,0,8,12,14,1.63,0,2,-2,-1.94,-2.80,1551,rs SRB,FW,de Bundesliga,18-327,2007,1.0,0,0,0,1,2,0,2,0,0,0
1552,Said El Mala,de GER,"FW,MF",Köln,de Bundesliga,19.0,2006,31,17,1717,19.1,11,4,15,10,1,1,3,0,0.73,,,,,,,,,,,,,,,,,,,,,,,,,1552,de GER,"FW,MF",de Bundesliga,19-245,2006,19.1,11,69,27,39.1,3.62,1.42,0.14,0.37,1,1,1944,de GER,"FW,MF",de Bundesliga,19-245,2006,31,1717,55,61.5,19.1,17,78,5,14,28,0,1.00,28,30,-2,-0.10,+0.40,1552,de GER,"FW,MF",de Bundesliga,19-245,2006,19.1,3,0,0,12,20,17,38,6,12,0
1553,Tyrell Malacia,nl NED,DF,Manchester Utd,eng Premier League,26.0,1999,2,0,9,0.1,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1553,nl NED,DF,eng Premier League,26-254,1999,0.1,0,0,0,,0.00,0.00,,,0,0,1945,nl NED,DF,eng Premier League,26-254,1999,2,9,5,0.3,0.1,0,,0,2,5,22,1.50,0,1,-1,-10.00,-10.44,1553,nl NED,DF,eng Premier League,26-254,1999,0.1,0,0,0,0,0,0,0,0,0,0
1554,Julián Malatini,ar ARG,DF,Werder Bremen,de Bundesliga,24.0,2001,11,5,516,5.7,0,0,0,0,0,0,3,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1554,ar ARG,DF,de Bundesliga,24-332,2001,5.7,0,2,0,0.0,0.35,0.00,0.00,,0,0,1946,ar ARG,DF,de Bundesliga,24-332,2001,11,516,47,18.5,5.7,5,71,1,6,27,7,1.00,4,12,-8,-1.40,-1.00,1554,ar ARG,DF,de Bundesliga,24-332,2001,5.7,3,0,0,7,1,0,5,6,6,0
1555,Daniel Maldini,it ITA,FW,Lazio,it Serie A,24.0,2001,9,8,593,6.6,2,1,3,2,0,0,0,0,0.46,,,,,,,,,,,,,,,,,,,,,,,,,1555,it ITA,FW,it Serie A,24-199,2001,6.6,2,13,4,30.8,1.97,0.61,0.15,0.50,0,0,1947,it ITA,FW,it Serie A,24-199,2001,9,593,66,19.4,6.6,8,72,2,1,15,1,1.78,8,9,-1,-0.15,-0.33,1555,it ITA,FW,it Serie A,24-199,2001,6.6,0,0,0,11,17,3,1,3,9,0
1556,Daniel Maldini,it ITA,MF,Atalanta,it Serie A,24.0,2001,9,3,264,2.9,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1556,it ITA,MF,it Serie A,24-199,2001,2.9,0,8,2,25.0,2.73,0.68,0.00,0.00,0,0,1948,it ITA,MF,it Serie A,24-199,2001,9,264,29,8.6,2.9,3,63,0,6,13,12,1.78,1,2,-1,-0.34,-0.86,1556,it ITA,MF,it Serie A,24-199,2001,2.9,1,0,0,4,7,0,10,0,2,0
1557,Youssef Maleh,ma MAR,MF,Cremonese,it Serie A,27.0,1998,10,10,856,9.5,1,0,1,1,0,0,2,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,1557,ma MAR,MF,it Serie A,27-249,1998,9.5,1,11,2,18.2,1.16,0.21,0.09,0.50,0,0,1949,ma MAR,MF,it Serie A,27-249,1998,10,856,86,28.0,9.5,10,86,6,0,,0,0.40,5,20,-15,-1.58,-1.17,1557,ma MAR,MF,it Serie A,27-249,1998,9.5,2,1,0,25,8,0,30,8,9,0
1558,Youssef Maleh,ma MAR,MF,Lecce,it Serie A,27.0,1998,9,5,460,5.1,0,0,0,0,0,0,2,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1558,ma MAR,MF,it Serie A,27-249,1998,5.1,0,7,1,14.3,1.37,0.20,0.00,0.00,0,0,1950,ma MAR,MF,it Serie A,27-249,1998,9,460,51,15.0,5.1,5,82,2,4,13,9,0.44,3,9,-6,-1.17,-0.55,1558,ma MAR,MF,it Serie A,27-249,1998,5.1,2,0,0,9,8,0,12,7,4,0
1559,Donyell Malen,nl NED,"FW,MF",Aston Villa,eng Premier League,27.0,1999,21,5,656,7.3,4,1,5,4,0,0,0,0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,1559,nl NED,"FW,MF",eng Premier League,27-109,1999,7.3,4,27,9,33.3,3.70,1.23,0.15,0.44,0,0,1951,nl NED,"FW,MF",eng Premier League,27-109,1999,21,656,31,21.4,7.3,5,71,0,16,19,0,2.05,11,10,+1,+0.14,-0.01,1559,nl NED,"FW,MF",eng Premier League,27-109,1999,7.3,0,0,0,2,6,1,7,0,2,0
1560,Donyell Malen,nl NED,FW,Roma,it Serie A,27.0,1999,14,14,1130,12.6,11,1,12,9,2,2,1,0,0.80,,,,,,,,,,,,,,,,,,,,,,,,,1560,nl NED,FW,it Serie A,27-109,1999,12.6,11,56,22,39.3,4.46,1.75,0.16,0.41,2,2,1952,nl NED,FW,it Serie A,27-109,1999,14,1130,81,36.9,12.6,14,81,6,0,,0,1.57,23,15,+8,+0.64,+0.12,1560,nl NED,FW,it Serie A,27-109,1999,12.6,1,0,0,10,13,13,5,1,1,0
1561,Ruslan Malinovskyi,ua UKR,MF,Genoa,it Serie A,32.0,1993,31,27,2104,23.4,6,3,9,3,3,3,10,0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,1561,ua UKR,MF,it Serie A,32-359,1993,23.4,6,51,15,29.4,2.18,0.64,0.06,0.20,3,3,1954,ua UKR,MF,it Serie A,32-359,1993,31,2104,68,68.8,23.4,27,74,5,4,28,1,1.10,27,30,-3,-0.13,+0.34,1561,ua UKR,MF,it Serie A,32-359,1993,23.4,10,0,0,35,25,1,60,16,19,0
1562,Lennard Maloney,us USA,"DF,MF",Mainz 05,de Bundesliga,26.0,1999,19,4,464,5.2,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1562,us USA,"DF,MF",de Bundesliga,26-202,1999,5.2,0,5,1,20.0,0.97,0.19,0.00,0.00,0,0,1955,us USA,"DF,MF",de Bundesliga,26-202,1999,19,464,24,16.6,5.2,4,78,2,15,10,10,1.37,3,11,-8,-1.55,-1.47,1562,us USA,"DF,MF",de Bundesliga,26-202,1999,5.2,1,0,0,13,3,1,2,8,8,0
1563,Pape Mamadou Sy,sn SEN,GK,Metz,fr Ligue 1,28.0,1997,6,6,526,5.8,0,0,0,0,0,0,0,0,0.00,87,sn SEN,GK,fr Ligue 1,28-361,1997,6,6,526,5.8,14,2.40,38,25,65.8,0,3,3,2,33.3,1,1,0,0,1563,sn SEN,GK,fr Ligue 1,28-361,1997,5.8,0,0,0,,0.00,0.00,,,0,0,1957,sn SEN,GK,fr Ligue 1,28-361,1997,6,526,88,18.9,5.8,6,88,5,0,,9,0.50,6,14,-8,-1.37,-0.14,1563,sn SEN,GK,fr Ligue 1,28-361,1997,5.8,0,0,0,0,3,0,0,0,0,0
1564,Giorgi Mamardashvili,ge GEO,GK,Liverpool,eng Premier League,25.0,2000,8,8,687,7.6,0,0,0,0,0,0,0,0,0.00,88,ge GEO,GK,eng Premier League,25-211,2000,8,8,687,7.6,13,1.70,37,26,67.6,3,0,5,2,25.0,2,1,1,0,1564,ge GEO,GK,eng Premier League,25-211,2000,7.6,0,0,0,,0.00,0.00,,,0,0,1958,ge GEO,GK,eng Premier League,25-211,2000,8,687,86,22.5,7.6,8,86,7,0,,25,1.13,10,13,-3,-0.39,-1.00,1564,ge GEO,GK,eng Premier League,25-211,2000,7.6,0,0,0,1,2,0,0,0,0,0
1565,Felix Mambimbi,ch SUI,"FW,MF",Le Havre,fr Ligue 1,25.0,2001,16,7,524,5.8,1,0,1,1,0,0,1,0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,1565,ch SUI,"FW,MF",fr Ligue 1,25-100,2001,5.8,1,6,2,33.3,1.03,0.34,0.17,0.50,0,0,1959,ch SUI,"FW,MF",fr Ligue 1,25-100,2001,16,524,33,18.8,5.8,7,62,0,9,10,11,0.81,4,8,-4,-0.69,-0.33,1565,ch SUI,"FW,MF",fr Ligue 1,25-100,2001,5.8,1,0,0,15,4,5,5,4,10,0
1566,Aitor Mañas,es ESP,FW,Alavés,es La Liga,23.0,2003,6,0,71,0.8,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1566,es ESP,FW,es La Liga,23-113,2003,0.8,0,1,1,100.0,1.27,1.27,0.00,0.00,0,0,1960,es ESP,FW,es La Liga,23-113,2003,6,71,12,2.4,0.8,0,,0,6,12,8,0.33,2,3,-1,-1.27,-0.96,1566,es ESP,FW,es La Liga,23-113,2003,0.8,0,0,0,1,0,0,0,0,2,0
1567,Gianluca Mancini,it ITA,DF,Roma,it Serie A,30.0,1996,32,32,2726,30.3,1,2,3,1,0,0,9,0,0.10,,,,,,,,,,,,,,,,,,,,,,,,,1567,it ITA,DF,it Serie A,30-011,1996,30.3,1,16,5,31.3,0.53,0.17,0.06,0.20,0,0,1961,it ITA,DF,it Serie A,30-011,1996,32,2726,85,89.1,30.3,32,85,25,0,,0,1.72,41,24,+17,+0.56,+0.02,1567,it ITA,DF,it Serie A,30-011,1996,30.3,9,0,0,67,39,5,29,42,26,0
1568,Reinildo Mandava,mz MOZ,DF,Sunderland,eng Premier League,32.0,1994,21,19,1625,18.1,0,1,1,0,0,0,7,1,0.06,,,,,,,,,,,,,,,,,,,,,,,,,1568,mz MOZ,DF,eng Premier League,32-097,1994,18.1,0,4,0,0.0,0.22,0.00,0.00,,0,0,1964,mz MOZ,DF,eng Premier League,32-097,1994,21,1625,77,53.1,18.1,19,83,16,2,23,0,1.52,22,23,-1,-0.06,+0.45,1568,mz MOZ,DF,eng Premier League,32-097,1994,18.1,7,1,0,29,33,1,20,27,18,0
1569,Aïssa Mandi,dz ALG,DF,Lille,fr Ligue 1,34.0,1991,26,25,2154,23.9,1,0,1,1,0,0,7,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,1569,dz ALG,DF,fr Ligue 1,34-188,1991,23.9,1,11,2,18.2,0.46,0.08,0.09,0.50,0,0,1965,dz ALG,DF,fr Ligue 1,34-188,1991,26,2154,83,77.2,23.9,25,86,21,1,6,2,1.88,35,25,+10,+0.42,-0.43,1569,dz ALG,DF,fr Ligue 1,34-188,1991,23.9,7,0,0,15,16,1,8,41,20,0
1570,Rolando Mandragora,it ITA,MF,Fiorentina,it Serie A,28.0,1997,31,28,2233,24.8,6,3,9,5,1,1,7,0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,1570,it ITA,MF,it Serie A,28-303,1997,24.8,6,60,16,26.7,2.42,0.64,0.08,0.31,1,1,1966,it ITA,MF,it Serie A,28-303,1997,31,2233,72,73.0,24.8,28,75,10,3,45,0,0.97,27,32,-5,-0.20,+0.02,1570,it ITA,MF,it Serie A,28-303,1997,24.8,7,0,0,35,52,0,66,15,22,0
1571,Filippo Mane,it ITA,DF,Dortmund,de Bundesliga,21.0,2005,4,2,131,1.5,0,0,0,0,0,0,0,1,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1571,it ITA,DF,de Bundesliga,21-051,2005,1.5,0,0,0,,0.00,0.00,,,0,0,1967,it ITA,DF,de Bundesliga,21-051,2005,4,131,33,4.7,1.5,2,65,0,2,1,7,2.50,4,2,+2,+1.37,+0.29,1571,it ITA,DF,de Bundesliga,21-051,2005,1.5,0,1,0,1,2,0,1,2,0,0
1572,Mateus Mane,pt POR,MF,Wolves,eng Premier League,18.0,2007,23,15,1459,16.2,2,1,3,2,0,0,0,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,1572,pt POR,MF,eng Premier League,18-224,2007,16.2,2,32,12,37.5,1.97,0.74,0.06,0.17,0,0,1968,pt POR,MF,eng Premier League,18-224,2007,23,1459,63,47.7,16.2,15,85,12,8,23,0,0.65,13,25,-12,-0.74,+0.72,1572,pt POR,MF,eng Premier League,18-224,2007,16.2,0,0,0,24,40,1,62,4,12,0
1573,Orel Mangala,be BEL,MF,Lyon,fr Ligue 1,28.0,1998,8,4,344,3.8,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1573,be BEL,MF,fr Ligue 1,28-041,1998,3.8,0,4,1,25.0,1.05,0.26,0.00,0.00,0,0,1969,be BEL,MF,fr Ligue 1,28-041,1998,8,344,43,12.3,3.8,4,67,0,4,20,2,2.38,6,3,+3,+0.78,+0.31,1573,be BEL,MF,fr Ligue 1,28-041,1998,3.8,0,0,0,6,4,0,3,4,4,0
1574,Bendito Mantato,eng ENG,MF,Manchester Utd,eng Premier League,18.0,2008,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1574,eng ENG,MF,eng Premier League,18-093,2008,0.2,0,0,0,,0.00,0.00,,,0,0,1971,eng ENG,MF,eng Premier League,18-093,2008,1,16,16,0.5,0.2,0,,0,1,16,3,1.00,0,0,0,0.00,-0.41,1574,eng ENG,MF,eng Premier League,18-093,2008,0.2,0,0,0,0,0,0,1,0,0,0
1575,Brad Mantsounga,cg CGO,DF,Nice,fr Ligue 1,18.0,2007,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1575,cg CGO,DF,fr Ligue 1,18-234,2007,1.0,0,0,0,,0.00,0.00,,,0,0,1972,cg CGO,DF,fr Ligue 1,18-234,2007,1,90,90,3.2,1.0,1,90,1,0,,4,0.00,1,5,-4,-4.00,-3.40,1575,cg CGO,DF,fr Ligue 1,18-234,2007,1.0,0,0,0,0,2,0,0,0,3,0
1576,Johan Manzambi,ch SUI,MF,Freiburg,de Bundesliga,20.0,2005,24,23,1859,20.7,5,2,7,5,0,0,4,2,0.34,,,,,,,,,,,,,,,,,,,,,,,,,1576,ch SUI,MF,de Bundesliga,20-196,2005,20.7,5,46,12,26.1,2.23,0.58,0.11,0.42,0,0,1973,ch SUI,MF,de Bundesliga,20-196,2005,24,1859,77,66.6,20.7,23,79,7,1,45,1,1.38,31,33,-2,-0.10,+0.48,1576,ch SUI,MF,de Bundesliga,20-196,2005,20.7,4,2,0,21,70,1,30,26,12,0
1577,Sekou Mara,fr FRA,FW,Auxerre,fr Ligue 1,23.0,2002,24,11,982,10.9,0,1,1,0,0,0,0,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,1577,fr FRA,FW,fr Ligue 1,23-272,2002,10.9,0,25,8,32.0,2.29,0.73,0.00,0.00,0,0,1974,fr FRA,FW,fr Ligue 1,23-272,2002,24,982,41,35.2,10.9,11,69,1,13,17,2,0.71,11,15,-4,-0.37,+0.18,1577,fr FRA,FW,fr Ligue 1,23-272,2002,10.9,0,0,0,25,22,2,0,2,6,0
1578,Alessandro Marcandalli,it ITA,DF,Genoa,it Serie A,23.0,2002,28,25,2254,25.0,0,2,2,0,0,0,4,0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,1578,it ITA,DF,it Serie A,23-185,2002,25.0,0,3,2,66.7,0.12,0.08,0.00,0.00,0,0,1977,it ITA,DF,it Serie A,23-185,2002,28,2254,81,73.7,25.0,25,87,22,3,28,4,1.32,35,33,+2,+0.08,+1.20,1578,it ITA,DF,it Serie A,23-185,2002,25.0,4,0,0,21,10,0,9,17,15,0
